"행정구역별(읍면동)",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택_계 (호),주택_단독주택 (호),주택_아파트 (호),주택_연립주택 (호),주택_다세대주택 (호),주택_비주거용 건물 내 주택 (호),주택 이외의 거처_계 (호)
"용인시",1066979,531634,535345,1039339,516113,523226,27640,15521,12119,413741,405291,336,8114,366546,31744,284719,11713,36593,1777,18246
"처인구",274005,142621,131384,258727,132782,125945,15278,9839,5439,112181,107739,177,4265,97152,20036,44490,6142,25211,1273,5494
"기흥구",428463,211250,217213,421058,207637,213421,7405,3613,3792,165157,162728,109,2320,147588,7654,127366,3691,8550,327,6297
"수지구",364511,177763,186748,359554,175694,183860,4957,2069,2888,136403,134824,50,1529,121806,4054,112863,1880,2832,177,6455
"파주시",495339,253755,241584,477497,241201,236296,17842,12554,5288,199393,194815,219,4359,183203,26687,131409,3971,19812,1324,9850
"이천시",228695,120048,108647,215953,112417,103536,12742,7631,5111,93874,90581,143,3150,82984,23317,42509,3699,12177,1282,5128
"안성시",210390,110425,99965,187941,96522,91419,22449,13903,8546,90263,82975,182,7106,79457,21824,49167,2763,4781,922,3877
"김포시",496323,255218,241105,464929,231789,233140,31394,23429,7965,196945,188422,132,8391,172576,13635,143461,5543,9007,930,17284
"화성시",974156,516893,457263,908504,470820,437684,65652,46073,19579,392879,375093,403,17383,344479,33632,284029,5601,19231,1986,31562
"광주시",394667,203537,191130,376485,191499,184986,18182,12038,6144,159541,154441,108,4992,139426,16978,55945,4502,60873,1128,4337
"양주시",269641,137861,131780,258122,129684,128438,11519,8177,3342,108411,105751,189,2471,108898,10989,86705,2020,8224,960,3724
"포천시",157111,86302,70809,137406,71774,65632,19705,14528,5177,66624,62070,172,4382,57880,21061,21874,2711,11102,1132,5934
"여주시",116045,59500,56545,110105,55855,54250,5940,3645,2295,49977,48619,104,1254,47130,21774,17841,1552,4992,971,2279
"연천군",41007,21736,19271,39348,20541,18807,1659,1195,464,19088,18647,34,407,17826,9040,5857,1161,1353,415,968
"가평군",59893,30625,29268,58324,29950,28374,1569,675,894,27690,27241,39,410,29008,15474,6733,2199,3734,868,1375
"양평군",119320,59594,59726,116805,58523,58282,2515,1071,1444,52969,52242,96,631,54390,34426,11882,1829,5314,939,2391
"강원특별자치도",1528014,770824,757190,1494874,752636,742238,33140,18188,14952,708894,698410,653,9831,674829,240574,387357,22017,13151,11730,19045
